"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Jura";"Zürich";"Type of owners - total";0;0;0
"1975";"Jura";"Zürich";"Private forest";0;0;0
"1975";"Jura";"Zürich";"Public forest";0;0;0
"1975";"Jura";"Zürich";">>Federal forest";0;0;0
"1975";"Jura";"Zürich";">>Cantonal forest";0;0;0
"1975";"Jura";"Zürich";">>Municipality forest";0;0;0
"1975";"Jura";"Zürich";">>Bourgeois forest";0;0;0
"1975";"Jura";"Zürich";">>Other public forest";0;0;0
"1975";"Jura";"Bern / Berne";"Type of owners - total";7026;65847;53006
"1975";"Jura";"Bern / Berne";"Private forest";6872;10836;10836
"1975";"Jura";"Bern / Berne";"Public forest";154;55011;42170
"1975";"Jura";"Bern / Berne";">>Federal forest";0;0;0
"1975";"Jura";"Bern / Berne";">>Cantonal forest";1;4611;4455
"1975";"Jura";"Bern / Berne";">>Municipality forest";107;32450;23933
"1975";"Jura";"Bern / Berne";">>Bourgeois forest";44;17796;13628
"1975";"Jura";"Bern / Berne";">>Other public forest";2;154;154
"1975";"Jura";"Luzern";"Type of owners - total";0;0;0
"1975";"Jura";"Luzern";"Private forest";0;0;0
"1975";"Jura";"Luzern";"Public forest";0;0;0
"1975";"Jura";"Luzern";">>Federal forest";0;0;0
"1975";"Jura";"Luzern";">>Cantonal forest";0;0;0
"1975";"Jura";"Luzern";">>Municipality forest";0;0;0
"1975";"Jura";"Luzern";">>Bourgeois forest";0;0;0
"1975";"Jura";"Luzern";">>Other public forest";0;0;0
"1975";"Jura";"Uri";"Type of owners - total";0;0;0
"1975";"Jura";"Uri";"Private forest";0;0;0
"1975";"Jura";"Uri";"Public forest";0;0;0
"1975";"Jura";"Uri";">>Federal forest";0;0;0
"1975";"Jura";"Uri";">>Cantonal forest";0;0;0
"1975";"Jura";"Uri";">>Municipality forest";0;0;0
"1975";"Jura";"Uri";">>Bourgeois forest";0;0;0
"1975";"Jura";"Uri";">>Other public forest";0;0;0
"1975";"Jura";"Schwyz";"Type of owners - total";0;0;0
"1975";"Jura";"Schwyz";"Private forest";0;0;0
"1975";"Jura";"Schwyz";"Public forest";0;0;0
"1975";"Jura";"Schwyz";">>Federal forest";0;0;0
"1975";"Jura";"Schwyz";">>Cantonal forest";0;0;0
"1975";"Jura";"Schwyz";">>Municipality forest";0;0;0
"1975";"Jura";"Schwyz";">>Bourgeois forest";0;0;0
"1975";"Jura";"Schwyz";">>Other public forest";0;0;0
"1975";"Jura";"Obwalden";"Type of owners - total";0;0;0
"1975";"Jura";"Obwalden";"Private forest";0;0;0
"1975";"Jura";"Obwalden";"Public forest";0;0;0
"1975";"Jura";"Obwalden";">>Federal forest";0;0;0
"1975";"Jura";"Obwalden";">>Cantonal forest";0;0;0
"1975";"Jura";"Obwalden";">>Municipality forest";0;0;0
"1975";"Jura";"Obwalden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Obwalden";">>Other public forest";0;0;0
"1975";"Jura";"Nidwalden";"Type of owners - total";0;0;0
"1975";"Jura";"Nidwalden";"Private forest";0;0;0
"1975";"Jura";"Nidwalden";"Public forest";0;0;0
"1975";"Jura";"Nidwalden";">>Federal forest";0;0;0
"1975";"Jura";"Nidwalden";">>Cantonal forest";0;0;0
"1975";"Jura";"Nidwalden";">>Municipality forest";0;0;0
"1975";"Jura";"Nidwalden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Nidwalden";">>Other public forest";0;0;0
"1975";"Jura";"Glarus";"Type of owners - total";0;0;0
"1975";"Jura";"Glarus";"Private forest";0;0;0
"1975";"Jura";"Glarus";"Public forest";0;0;0
"1975";"Jura";"Glarus";">>Federal forest";0;0;0
"1975";"Jura";"Glarus";">>Cantonal forest";0;0;0
"1975";"Jura";"Glarus";">>Municipality forest";0;0;0
"1975";"Jura";"Glarus";">>Bourgeois forest";0;0;0
"1975";"Jura";"Glarus";">>Other public forest";0;0;0
"1975";"Jura";"Zug";"Type of owners - total";0;0;0
"1975";"Jura";"Zug";"Private forest";0;0;0
"1975";"Jura";"Zug";"Public forest";0;0;0
"1975";"Jura";"Zug";">>Federal forest";0;0;0
"1975";"Jura";"Zug";">>Cantonal forest";0;0;0
"1975";"Jura";"Zug";">>Municipality forest";0;0;0
"1975";"Jura";"Zug";">>Bourgeois forest";0;0;0
"1975";"Jura";"Zug";">>Other public forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";"Type of owners - total";0;0;0
"1975";"Jura";"Fribourg / Freiburg";"Private forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";"Public forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";">>Federal forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";">>Cantonal forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";">>Municipality forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";">>Bourgeois forest";0;0;0
"1975";"Jura";"Fribourg / Freiburg";">>Other public forest";0;0;0
"1975";"Jura";"Solothurn";"Type of owners - total";3531;18956;18032
"1975";"Jura";"Solothurn";"Private forest";3469;4691;4691
"1975";"Jura";"Solothurn";"Public forest";62;14265;13341
"1975";"Jura";"Solothurn";">>Federal forest";1;89;89
"1975";"Jura";"Solothurn";">>Cantonal forest";1;715;682
"1975";"Jura";"Solothurn";">>Municipality forest";0;0;0
"1975";"Jura";"Solothurn";">>Bourgeois forest";58;13364;12482
"1975";"Jura";"Solothurn";">>Other public forest";2;97;88
"1975";"Jura";"Basel-Stadt";"Type of owners - total";81;1373;1340
"1975";"Jura";"Basel-Stadt";"Private forest";76;132;132
"1975";"Jura";"Basel-Stadt";"Public forest";5;1241;1208
"1975";"Jura";"Basel-Stadt";">>Federal forest";0;0;0
"1975";"Jura";"Basel-Stadt";">>Cantonal forest";1;90;90
"1975";"Jura";"Basel-Stadt";">>Municipality forest";2;1031;998
"1975";"Jura";"Basel-Stadt";">>Bourgeois forest";2;120;120
"1975";"Jura";"Basel-Stadt";">>Other public forest";0;0;0
"1975";"Jura";"Basel-Landschaft";"Type of owners - total";5447;14810;14724
"1975";"Jura";"Basel-Landschaft";"Private forest";5360;3394;3394
"1975";"Jura";"Basel-Landschaft";"Public forest";87;11416;11330
"1975";"Jura";"Basel-Landschaft";">>Federal forest";1;24;24
"1975";"Jura";"Basel-Landschaft";">>Cantonal forest";1;178;176
"1975";"Jura";"Basel-Landschaft";">>Municipality forest";14;73;73
"1975";"Jura";"Basel-Landschaft";">>Bourgeois forest";70;11088;11004
"1975";"Jura";"Basel-Landschaft";">>Other public forest";1;53;53
"1975";"Jura";"Schaffhausen";"Type of owners - total";1810;12126;11956
"1975";"Jura";"Schaffhausen";"Private forest";1780;1736;1736
"1975";"Jura";"Schaffhausen";"Public forest";30;10390;10220
"1975";"Jura";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Jura";"Schaffhausen";">>Cantonal forest";1;2142;2093
"1975";"Jura";"Schaffhausen";">>Municipality forest";28;8240;8119
"1975";"Jura";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Jura";"Schaffhausen";">>Other public forest";1;8;8
"1975";"Jura";"Appenzell Ausserrhoden";"Type of owners - total";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";"Private forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Other public forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Type of owners - total";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Private forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Public forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Cantonal forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Other public forest";0;0;0
"1975";"Jura";"St. Gallen";"Type of owners - total";0;0;0
"1975";"Jura";"St. Gallen";"Private forest";0;0;0
"1975";"Jura";"St. Gallen";"Public forest";0;0;0
"1975";"Jura";"St. Gallen";">>Federal forest";0;0;0
"1975";"Jura";"St. Gallen";">>Cantonal forest";0;0;0
"1975";"Jura";"St. Gallen";">>Municipality forest";0;0;0
"1975";"Jura";"St. Gallen";">>Bourgeois forest";0;0;0
"1975";"Jura";"St. Gallen";">>Other public forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - total";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Federal forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Cantonal forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Municipality forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Other public forest";0;0;0
"1975";"Jura";"Aargau";"Type of owners - total";4829;14937;14673
"1975";"Jura";"Aargau";"Private forest";4761;3809;3809
"1975";"Jura";"Aargau";"Public forest";68;11128;10864
"1975";"Jura";"Aargau";">>Federal forest";0;0;0
"1975";"Jura";"Aargau";">>Cantonal forest";1;1504;1452
"1975";"Jura";"Aargau";">>Municipality forest";0;0;0
"1975";"Jura";"Aargau";">>Bourgeois forest";60;9197;9001
"1975";"Jura";"Aargau";">>Other public forest";7;427;411
"1975";"Jura";"Thurgau";"Type of owners - total";0;0;0
"1975";"Jura";"Thurgau";"Private forest";0;0;0
"1975";"Jura";"Thurgau";"Public forest";0;0;0
"1975";"Jura";"Thurgau";">>Federal forest";0;0;0
"1975";"Jura";"Thurgau";">>Cantonal forest";0;0;0
"1975";"Jura";"Thurgau";">>Municipality forest";0;0;0
"1975";"Jura";"Thurgau";">>Bourgeois forest";0;0;0
"1975";"Jura";"Thurgau";">>Other public forest";0;0;0
"1975";"Jura";"Ticino";"Type of owners - total";0;0;0
"1975";"Jura";"Ticino";"Private forest";0;0;0
"1975";"Jura";"Ticino";"Public forest";0;0;0
"1975";"Jura";"Ticino";">>Federal forest";0;0;0
"1975";"Jura";"Ticino";">>Cantonal forest";0;0;0
"1975";"Jura";"Ticino";">>Municipality forest";0;0;0
"1975";"Jura";"Ticino";">>Bourgeois forest";0;0;0
"1975";"Jura";"Ticino";">>Other public forest";0;0;0
"1975";"Jura";"Vaud";"Type of owners - total";6709;41157;35827
"1975";"Jura";"Vaud";"Private forest";6624;7810;7810
"1975";"Jura";"Vaud";"Public forest";85;33347;28017
"1975";"Jura";"Vaud";">>Federal forest";0;0;0
"1975";"Jura";"Vaud";">>Cantonal forest";1;3012;2767
"1975";"Jura";"Vaud";">>Municipality forest";84;30335;25250
"1975";"Jura";"Vaud";">>Bourgeois forest";0;0;0
"1975";"Jura";"Vaud";">>Other public forest";0;0;0
"1975";"Jura";"Valais / Wallis";"Type of owners - total";0;0;0
"1975";"Jura";"Valais / Wallis";"Private forest";0;0;0
"1975";"Jura";"Valais / Wallis";"Public forest";0;0;0
"1975";"Jura";"Valais / Wallis";">>Federal forest";0;0;0
"1975";"Jura";"Valais / Wallis";">>Cantonal forest";0;0;0
"1975";"Jura";"Valais / Wallis";">>Municipality forest";0;0;0
"1975";"Jura";"Valais / Wallis";">>Bourgeois forest";0;0;0
